project,class,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
uglide/RedisDesktopManager,Scripting_Dynamic_Disallow_Managed,825,13,0,0,0,13,10,0,3,72520,2,2123
ustbhuangyi/better-scroll,Scripting_Dynamic_Allow_Managed,1318,180,2,13,3,162,101,1,78,61941,24,1334
v2ray/v2ray-core,Procedural_Static_Disallow_Managed,15190,1196,22,64,78,1032,262,16,918,357233,50,1555
v8/v8,Procedural_Dynamic_Allow_Managed,34,11,0,0,0,11,9,1,1,791,16,3155
v8/v8,Procedural_Static_Allow_Unmanaged,286961,51580,563,1513,11759,37745,46817,2251,2512,6338440,774,4178
v8/v8,Scripting_Dynamic_Allow_Managed,34475,6752,71,67,862,5752,6105,285,362,1445442,409,4177
v8/v8,Scripting_Dynamic_Disallow_Managed,5919,778,19,17,85,657,738,19,21,150453,299,4176
vapor/vapor,Functional_Static_Disallow_Managed,16445,1507,12,111,79,1305,449,76,982,325317,134,1422
vapor/vapor,Procedural_Static_Allow_Unmanaged,22,0,0,0,0,0,0,0,0,217018,7,1335
videolan/x265,Procedural_Static_Allow_Unmanaged,24205,3018,74,175,466,2303,1579,100,1339,589981,153,2384
videolan/x265,Scripting_Dynamic_Disallow_Managed,20,0,0,0,0,0,0,0,0,319,3,614
virtualagc/virtualagc,Procedural_Static_Allow_Unmanaged,1322,340,2,2,31,305,211,16,113,139121,13,4135
virtualagc/virtualagc,Scripting_Dynamic_Disallow_Managed,365,80,3,1,5,71,57,3,20,17353,4,3631
vnpy/vnpy,Procedural_Static_Allow_Unmanaged,5874,61,0,2,0,59,20,0,41,1175970,15,1698
vnpy/vnpy,Scripting_Dynamic_Disallow_Managed,7054,514,8,3,2,501,104,8,402,537562,88,1718
vuejs/vue,Scripting_Dynamic_Allow_Managed,7645,1947,17,6,90,1834,738,42,1167,479939,239,1333
vuetifyjs/vuetify,Scripting_Dynamic_Allow_Managed,15474,4286,208,24,113,3941,2779,53,1454,422213,190,1175
vurtun/nuklear,Procedural_Static_Allow_Unmanaged,2737,988,4,2,72,910,463,5,520,291709,94,1671
wagoodman/dive,Procedural_Static_Disallow_Managed,922,178,0,0,13,165,78,3,97,23256,13,563
webmin/webmin,Functional_Static_Disallow_Managed,107,7,0,0,0,7,0,0,7,364,3,3985
webmin/webmin,Procedural_Static_Allow_Unmanaged,38,8,0,0,0,8,1,0,7,716,3,4042
webmin/webmin,Procedural_Static_Disallow_Managed,119,8,0,0,0,8,2,0,6,2852,2,3856
webmin/webmin,Scripting_Dynamic_Allow_Managed,9341,2165,11,15,43,2096,281,51,1833,383606,67,4624
webmin/webmin,Scripting_Dynamic_Disallow_Managed,16,2,0,0,0,2,1,0,1,2203,3,3714
webpack/webpack,Scripting_Dynamic_Allow_Managed,22188,4687,34,32,258,4363,1887,154,2646,303894,553,2826
wireapp/wire-android,Functional_Static_Disallow_Managed,8760,1808,59,78,95,1576,774,16,1018,211026,34,1439
wireapp/wire-android,Procedural_Static_Disallow_Managed,4922,572,2,5,18,547,216,12,344,67788,29,1437
x64dbg/x64dbg,Procedural_Static_Allow_Unmanaged,14368,4111,46,230,548,3287,2878,54,1179,475762,95,2201
xmartlabs/Eureka,Functional_Static_Disallow_Managed,1578,478,9,1,16,452,211,0,267,29538,126,1514
yahoo/kafka-manager,Functional_Static_Disallow_Managed,1189,139,1,3,3,132,55,1,83,21650,55,1553
yakyak/yakyak,Scripting_Dynamic_Allow_Managed,1599,295,2,2,10,281,131,2,162,16572,65,1357
yarnpkg/yarn,Scripting_Dynamic_Allow_Managed,6373,2842,57,46,134,2605,1691,72,1079,93317,482,1417
ycm-core/YouCompleteMe,Procedural_Static_Allow_Unmanaged,25093,274,2,30,17,225,129,81,64,2340043,17,2777
ycm-core/YouCompleteMe,Scripting_Dynamic_Disallow_Managed,2385,532,6,27,46,453,322,9,201,57623,59,2784
yiisoft/yii2,Scripting_Dynamic_Allow_Managed,34966,10575,221,142,320,9892,5567,212,4796,807048,893,3071
ytdl-org/youtube-dl,Scripting_Dynamic_Disallow_Managed,20402,4733,21,10,84,4618,2138,25,2570,299470,806,2939
yuki-kimoto/gitprep,Scripting_Dynamic_Allow_Managed,1294,101,1,1,4,95,53,0,48,36824,6,2036
zxing/zxing,Procedural_Static_Allow_Unmanaged,4563,392,0,0,167,225,375,0,17,143309,21,2104
zxing/zxing,Procedural_Static_Disallow_Managed,8692,950,26,21,35,868,762,17,171,223603,84,4297
zxing/zxing,Scripting_Dynamic_Disallow_Managed,381,0,0,0,0,0,0,0,0,47459,6,1879
